PFT,fev1,fev_percent_of_predicted,dlco,dlco_percent_of_predicted
fev1,1,0.7741381682646843,0.21804956575041334,0.15765789472401728
fev_percent_of_predicted,0.7741381682646843,1,0.20628264319147926,0.304101819192843
dlco,0.21804956575041334,0.20628264319147926,1,0.7594983375892449
dlco_percent_of_predicted,0.15765789472401728,0.304101819192843,0.7594983375892449,1
