Characteristic,N,Mean (SD),"Median (Q1, Q3)",Missing
FEV1,122,2.5 (0.5),"2.6 (2.2, 2.9)",8
FEV1 percent predicted,123,82.2 (12.3),"80.8 (75.4, 91.2)",7
DLCO,120,18.5 (3.8),"18.6 (16.2, 21.3)",10
DLCO percent predicted,121,77.8 (13.4),"78.6 (69.9, 87.3)",9
