Variable,Missing_N,Total_N,Missing_Percent
dlco,10,130,7.7
dlco_percent_of_predicted,9,130,6.9
fev1,8,130,6.2
fev_percent_of_predicted,7,130,5.4
length_of_hospital_stay,3,130,2.3
tumor_size_cm,3,130,2.3
cardiac,2,130,1.5
histology,2,130,1.5
respiratory,2,130,1.5
smoking,2,130,1.5
age,0,130,0
anycomp,0,130,0
cardcomp,0,130,0
ckd,0,130,0
deathcomp,0,130,0
dm,0,130,0
event,0,130,0
followup_months,0,130,0
hilar_ln_involved,0,130,0
infectcomp,0,130,0
mediastinal_ln_involved,0,130,0
othcomorb,0,130,0
pathologic_stage,0,130,0
respcomp,0,130,0
sex,0,130,0
stroke,0,130,0
type_of_surgery,0,130,0
