model,term,HR,conf.low,conf.high,HR_95_CI,p.value,p_value
Sensitivity Cox model,alg_useALG,0.6246196962343946,0.47276945932024983,0.8252431649982352,"0.62 (0.47, 0.83)",9.278040036189491e-4,<0.001
Sensitivity Cox model,age_years,1.0269539435923016,1.0153796458131639,1.0386601766230792,"1.03 (1.02, 1.04)",4.241766240810703e-6,<0.001
Sensitivity Cox model,sexFemale,0.9526535542775121,0.7294989954430438,1.2440713423140477,"0.95 (0.73, 1.24)",0.72169460309473,0.722
Sensitivity Cox model,dialysis_days,1.000066215805794,0.9998394050424624,1.0002930780205108,"1.00 (1.00, 1.00)",0.5672191777762137,0.567
Sensitivity Cox model,diabetesYes,1.942094061732705,1.3605492323397095,2.7722108505630976,"1.94 (1.36, 2.77)",2.5655256568929066e-4,<0.001
Sensitivity Cox model,prior_transplant_anyYes,1.2060290030819998,0.9097014920976426,1.5988826762513906,"1.21 (0.91, 1.60)",0.19286935919224016,0.193
Sensitivity Cox model,blood_units,1.0112875440831748,0.9847871703904424,1.0385010361297706,"1.01 (0.98, 1.04)",0.4074039066863084,0.407
Sensitivity Cox model,mismatch_score,1.165705869961199,1.0729650445671206,1.266462670095857,"1.17 (1.07, 1.27)",2.8897236117752503e-4,<0.001
