model,term,HR,conf.low,conf.high,HR_95_CI,p.value,p_value
Selected Cox model,alg_useALG,0.6348324852694611,0.4814942078922483,0.8370033901707684,"0.63 (0.48, 0.84)",0.0012758941358516028,0.001
Selected Cox model,age_years,1.02767205069885,1.016182724499085,1.0392912793397229,"1.03 (1.02, 1.04)",1.9504207203921396e-6,<0.001
Selected Cox model,diabetesYes,1.9708472659612475,1.3892279397001768,2.795969498414508,"1.97 (1.39, 2.80)",1.432906444997271e-4,<0.001
Selected Cox model,prior_transplants_count,1.249918914688082,1.0107677245372415,1.545654115548948,"1.25 (1.01, 1.55)",0.03951255303486335,0.040
Selected Cox model,mismatch_score,1.1680921069585783,1.07551010959276,1.2686437423220258,"1.17 (1.08, 1.27)",2.2623610029913664e-4,<0.001
