model,term,HR,conf.low,conf.high,HR_95_CI,p.value,p_value
Full Cox model,alg_useALG,0.6275257068237308,0.47482180826951076,0.8293395666887882,"0.63 (0.47, 0.83)",0.0010557058957502672,0.001
Full Cox model,age_years,1.0270657719272245,1.0154678863965718,1.0387961194988575,"1.03 (1.02, 1.04)",4.044966156361469e-6,<0.001
Full Cox model,sexFemale,0.9490942788185766,0.7264809893012606,1.2399222599789383,"0.95 (0.73, 1.24)",0.7016415080460853,0.702
Full Cox model,dialysis_days,1.000061202988136,0.9998346632385875,1.000287794066429,"1.00 (1.00, 1.00)",0.5964802627084851,0.596
Full Cox model,diabetesYes,1.9581211487434453,1.3714080068759043,2.7958407811041033,"1.96 (1.37, 2.80)",2.1722343654243217e-4,<0.001
Full Cox model,prior_transplants_count,1.23898424724577,1.000099965190443,1.5349285255007992,"1.24 (1.00, 1.53)",0.04989317800964478,0.050
Full Cox model,blood_units,1.0108983221919334,0.9847640197375288,1.037726193614222,"1.01 (0.98, 1.04)",0.4173095389137963,0.417
Full Cox model,mismatch_score,1.1645987172863845,1.0717429002039882,1.2654995634185633,"1.16 (1.07, 1.27)",3.252518852916894e-4,<0.001
